@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,4550,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1782,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,2010,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,3371,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,8291,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,19842,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,6005,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1583,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,1174,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,5678,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),2,tcp,ipv4,172.16.0.9,58145
"Oct 24, 2022 @ 22:16:40.002",packetbeat,54B,172.16.0.2,726,connection,172.16.0.2,8 (jessie),2,tcp,ipv4,172.16.0.9,58145
