@timestamp,file.mtime,event.action,file.path,file.owner,related.user
"Oct 22, 2022 @ 15:21:03.687","Oct 22, 2022 @ 15:21:03.682","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.682","Oct 22, 2022 @ 15:21:03.674","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.681","Aug 20, 2021 @ 14:32:53.680",attributes_modified,/etc/init.d/initservice.sh,root,-
"Oct 22, 2022 @ 15:21:03.678","Oct 22, 2022 @ 15:21:03.674","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.677","Oct 22, 2022 @ 15:21:03.670","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.672","Oct 22, 2022 @ 15:21:03.666","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.670","Jun 22, 2022 @ 14:57:03.670",attributes_modified,/etc/passwd,root,-
"Oct 22, 2022 @ 15:21:03.668","Oct 22, 2022 @ 15:21:03.662","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.668","Oct 22, 2022 @ 15:21:03.662","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.667","Oct 22, 2022 @ 15:21:03.662","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.662","Oct 22, 2022 @ 15:21:03.658","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.659","Oct 22, 2022 @ 15:21:03.654","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.659","Oct 22, 2022 @ 15:21:03.654","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.658","Oct 22, 2022 @ 15:21:03.654","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.653",-,deleted,/home/adam/modify.sh,-,-
"Oct 22, 2022 @ 15:21:03.653","Oct 22, 2022 @ 15:21:03.646","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.650","Oct 22, 2022 @ 15:21:03.646","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.649","Oct 22, 2022 @ 15:21:03.642","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.643","Oct 22, 2022 @ 15:21:03.638","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.641",-,deleted,/home/adam/exfil.sh,-,-
"Oct 22, 2022 @ 15:21:03.638","Oct 22, 2022 @ 15:21:03.634","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.638","Oct 22, 2022 @ 15:21:03.634","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.637","Oct 22, 2022 @ 15:21:03.630","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.631","Oct 22, 2022 @ 15:21:03.626","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.629",-,deleted,/home/adam/initservice.sh,-,-
"Oct 22, 2022 @ 15:21:03.627","Oct 22, 2022 @ 15:21:03.622","updated, attributes_modified",/var/log/auth.log,syslog,-
